lon,lat,eastVel,northVel,eastSig,northSig,corr,other1,tog,name,upVel,upSig,eastAdj,northAdj,upAdj,
259.798,34.85,-0.087,0.785,0,0,0,2,1,"TXWL_GPS  ",0,1,0,0,0,
257.133,30.894,-0.34,0.949,0,0,0,2,1,"TXFS_GPS  ",0,1,0,0,0,
257.106,31.558,-0.305,0.93,0,0,0,2,1,"TXMH_GPS  ",0,1,0,0,0,
260.032,31.761,-0.216,0.857,0,0,0,2,1,"TXBI_GPS  ",0,1,0,0,0,
257.023,49.679,0.523,0.76,0,0,0,2,1,"C285_GPS  ",0,1,0,0,0,
260.089,49.886,0.552,0.659,0,0,0,2,1,"C269_GPS  ",0,1,0,0,0,
260.095,40.306,0.15,0.704,0,0,0,2,1,"NEAP_GPS  ",0,1,0,0,0,
260.15,28.535,-0.334,1.008,0,0,0,2,1,"TXCS_GPS  ",0,1,0,0,0,
260.15,28.942,-0.321,0.982,0,0,0,2,1,"TXLP_GPS  ",0,1,0,0,0,
260.173,29.201,-0.311,0.966,0,0,0,2,1,"TXUV_GPS  ",0,1,0,0,0,
256.891,31.843,-0.296,0.927,0,0,0,2,1,"TXKM_GPS  ",0,1,0,0,0,
260.199,30.479,-0.263,0.902,0,0,0,2,1,"JCT1_GPS  ",0,1,0,0,0,
260.223,30.5,-0.262,0.9,0,0,0,2,1,"TXJN_GPS  ",0,1,0,0,0,
256.846,36.448,-0.066,0.846,0,0,0,2,1,"P039_GPS  ",0,1,0,0,0,
260.239,29.739,-0.29,0.936,0,0,0,2,1,"TXLE_GPS  ",0,1,0,0,0,
260.243,32.503,-0.179,0.829,0,0,0,2,1,"TXAB_GPS  ",0,1,0,0,0,
260.258,30.493,-0.261,0.9,0,0,0,2,1,"LCJU_GPS  ",0,1,0,0,0,
256.778,40.172,0.101,0.809,0,0,0,2,1,"P044_GPS  ",0,1,0,0,0,
256.726,46.905,0.402,0.772,0,0,0,2,1,"MDR0_GPS  ",0,1,0,0,0,
256.671,42.739,0.214,0.792,0,0,0,2,1,"WHN9_GPS  ",0,1,0,0,0,
256.593,34.147,-0.183,0.887,0,0,0,2,1,"P038_GPS  ",0,1,0,0,0,
268.541,49.292,0.58,0.384,0,0,0,2,1,"C123_GPS  ",0,1,0,0,0,
248.537,36.909,-0.291,1.196,0,0,0,2,1,"AZPG_GPS  ",0,1,0,0,0,
248.521,44.83,-0.141,0.549,0,0,0.008,2,1,"N144_GPS  ",0,1,0,0,0,
248.497,36.866,-0.295,1.2,0,0,0.066,2,1,"L404_GPS  ",0,1,0,0,0,
248.486,44.598,-0.385,0.489,0,0,-0.013,2,1,"K092_GPS  ",0,1,0,0,0,
268.595,31.561,-0.067,0.587,0,0,0,2,1,"MSNA_GPS  ",0,1,0,0,0,
248.485,32.984,-0.574,1.307,0,0,0.019,2,1,"AZCL_GPS  ",0,1,0,0,0,
268.599,39.695,0.208,0.439,0,0,0,2,1,"MOHL_GPS  ",0,1,0,0,0,
248.474,44.185,-0.491,0.177,0,0,0,2,1,"BBID_GPS  ",0,1,0,0,0,
248.472,40.413,-0.758,1.083,0,0,0,2,1,"DCUT_GPS  ",0,1,0,0,0,
248.47,43.482,-1.457,-0.239,0,0,0,164,1,"P359_GPS  ",0,1,0,0,0,
248.462,40.028,-0.97,1.33,0,0,0,2,1,"POLE_GPS  ",0,1,0,0,0,
248.462,40.741,-0.646,1.137,0,0,0,2,1,"KIMB_GPS  ",0,1,0,0,0,
268.623,39.938,0.218,0.436,0,0,0,2,1,"SIKA_GPS  ",0,1,0,0,0,
268.638,42.878,0.331,0.411,0,0,0,2,1,"IAEL_GPS  ",0,1,0,0,0,
248.435,41.607,-0.967,1.32,0,0,0,2,1,"HWUT_GPS  ",0,1,0,0,0,
268.657,37.97,0.145,0.457,0,0,0,2,1,"MOST_GPS  ",0,1,0,0,0,
248.416,42.654,-1.006,0.98,0,0,0.047,161,1,"SSPR_GPS  ",0,1,0,0,0,
248.416,42.686,-0.988,0.938,0,0,0,161,1,"IDSS_GPS  ",0,1,0,0,0,
248.408,44.902,-0.065,0.478,0,0,0.002,2,1,"WFRA_GPS  ",0,1,0,0,0,
248.38,40.584,-0.83,1.133,0,0,0,2,1,"ALUT_GPS  ",0,1,0,0,0,
268.709,43.497,0.355,0.404,0,0,0,2,1,"NALB_GPS  ",0,1,0,0,0,
248.37,45.597,0.353,0.676,0,0,0,102,1,"NOMT_GPS  ",0,1,0,0,0,
248.366,40.016,-1.205,1.382,0,0,0,2,1,"MPUT_GPS  ",0,1,0,0,0,
248.365,35.215,-0.378,1.239,0,0,-0.03,2,1,"FLAG_GPS  ",0,1,0,0,0,
268.719,-79.627,-9.143,9.722,0,0,0,4,1,"W06A_GPS  ",0,1,0,0,0,
248.351,35.202,-0.38,1.241,0,0,0,2,1,"FLAG_GPS  ",0,1,0,0,0,
248.349,39.597,-0.839,1.255,0,0,0,2,1,"P109_GPS  ",0,1,0,0,0,
248.343,35.177,-0.382,1.242,0,0,0,2,1,"AZFL_GPS  ",0,1,0,0,0,
268.743,42.104,0.301,0.413,0,0,0,2,1,"IAAN_GPS  ",0,1,0,0,0,
248.334,41.046,-0.833,1.221,0,0,0,2,1,"MOUT_GPS  ",0,1,0,0,0,
268.749,47.303,0.504,0.384,0,0,0,2,1,"SLVB_GPS  ",0,1,0,0,0,
248.321,45.232,0.101,0.683,0,0,-0.052,102,1,"H146_GPS  ",0,1,0,0,0,
268.775,43.778,0.366,0.4,0,0,0,2,1,"LCRS_GPS  ",0,1,0,0,0,
268.784,37.455,0.127,0.46,0,0,0,2,1,"MOB8_GPS  ",0,1,0,0,0,
268.791,40.833,0.253,0.422,0,0,0,2,1,"IAWB_GPS  ",0,1,0,0,0,
268.792,39.348,0.197,0.437,0,0,0,2,1,"MOBG_GPS  ",0,1,0,0,0,
248.283,40.752,-1.006,1.18,0,0,0,2,1,"1S2E_GPS  ",0,1,0,0,0,
248.277,40.772,-1.011,1.184,0,0,0,2,1,"P088_GPS  ",0,1,0,0,0,
268.809,41.175,0.266,0.418,0,0,0,2,1,"IAWO_GPS  ",0,1,0,0,0,
248.265,42.827,-1.367,0.531,0,0,0,161,1,"P683_GPS  ",0,1,0,0,0,
268.817,32.4,-0.041,0.555,0,0,0,2,1,"TALL_GPS  ",0,1,0,0,0,
268.82,30.407,-0.094,0.614,0,0,0,2,1,"1LSU_GPS  ",0,1,0,0,0,
248.254,39.744,-1.24,1.333,0,0,0,2,1,"FOOT_GPS  ",0,1,0,0,0,
248.249,40.435,-1.243,1.367,0,0,0,161,1,"P117_GPS  ",0,1,0,0,0,
268.839,38.815,0.177,0.441,0,0,0,2,1,"MOWR_GPS  ",0,1,0,0,0,
248.219,41.583,-1.211,1.184,0,0,0,161,1,"P126_GPS  ",0,1,0,0,0,
248.217,45.693,0.421,0.733,0,0,0.003,102,1,"F145_GPS  ",0,1,0,0,0,
248.216,43.82,-1.257,-0.148,0,0,0,164,1,"IDBY_GPS  ",0,1,0,0,0,
248.212,42.541,-1.343,1.03,0,0,0.118,161,1,"GRCE_GPS  ",0,1,0,0,0,
248.211,45.218,0.104,0.7,0,0,0,102,1,"P719_GPS  ",0,1,0,0,0,
248.206,34.863,-0.411,1.262,0,0,0,2,1,"SEDO_GPS  ",0,1,0,0,0,
248.195,43.836,-1.245,-0.142,0,0,-0.044,164,1,"U11D_GPS  ",0,1,0,0,0,
248.192,26.621,-35.315,31.186,0,0,0,245,1,"CONC_GPS  ",0,1,0,0,0,
248.191,40.781,-1.15,1.26,0,0,0,2,1,"RBUT_GPS  ",0,1,0,0,0,
268.89,41.643,0.285,0.412,0,0,0,2,1,"IATI_GPS  ",0,1,0,0,0,
268.893,30.396,-0.093,0.611,0,0,0,2,1,"SJB1_GPS  ",0,1,0,0,0,
248.171,34.537,-0.436,1.277,0,0,0.076,2,1,"W002_GPS  ",0,1,0,0,0,
248.17,44.068,-0.952,-0.069,0,0,0,164,1,"P685_GPS  ",0,1,0,0,0,
248.163,44.719,-0.195,0.297,0,0,0,102,1,"P707_GPS  ",0,1,0,0,0,
248.157,42.215,-1.488,1.3,0,0,0.022,161,1,"BATI_GPS  ",0,1,0,0,0,
248.148,41.082,-1.118,1.322,0,0,0,2,1,"FRPK_GPS  ",0,1,0,0,0,
248.147,39.807,-1.325,1.349,0,0,0,161,1,"MONA_GPS  ",0,1,0,0,0,
268.939,36.96,0.11,0.462,0,0,0,2,1,"MOVB_GPS  ",0,1,0,0,0,
248.119,42.65,-1.437,0.779,0,0,0.116,161,1,"3926_GPS  ",0,1,0,0,0,
248.115,-74.546,-3.013,13.677,0,0,0,4,1,"BERP_GPS  ",0,1,0,0,0,
248.108,33.774,-0.505,1.314,0,0,0,2,1,"AZAH_GPS  ",0,1,0,0,0,
248.103,39.914,-1.577,1.354,0,0,0,161,1,"GOUT_GPS  ",0,1,0,0,0,
248.101,41.589,-1.398,1.254,0,0,0,161,1,"P125_GPS  ",0,1,0,0,0,
248.093,40.621,-1.332,1.513,0,0,0,161,1,"MIDV_GPS  ",0,1,0,0,0,
248.08,43.306,-1.639,-0.127,0,0,0,164,1,"TMIG_GPS  ",0,1,0,0,0,
248.08,43.657,-1.428,-0.157,0,0,-0.015,164,1,"RGBY_GPS  ",0,1,0,0,0,
248.077,33.492,-0.538,1.33,0,0,0.028,2,1,"AZSC_GPS  ",0,1,0,0,0,
269.003,38.46,0.165,0.44,0,0,0,2,1,"SICE_GPS  ",0,1,0,0,0,
248.072,40.261,-1.868,1.54,0,0,0,161,1,"LMUT_GPS  ",0,1,0,0,0,
