lon,lat,eastVel,northVel,eastSig,northSig,corr,other1,tog,name,upVel,upSig,eastAdj,northAdj,upAdj,
260.15,28.942,1.252,0.675,0.896,0.781,0,2,1,"TXLP_GPS  ",0,1,0,0,0,
260.173,29.201,0.011,1.174,0.53,0.665,0,2,1,"TXUV_GPS  ",0,1,0,0,0,
256.891,31.843,0.336,1.316,0.978,0.723,0,2,1,"TXKM_GPS  ",0,1,0,0,0,
260.199,30.479,-0.321,1.753,0.308,0.301,0,2,1,"JCT1_GPS  ",0,1,0,0,0,
260.223,30.5,-0.73,1.464,1.589,0.736,0,2,1,"TXJN_GPS  ",0,1,0,0,0,
256.846,36.448,-0.374,1.766,0.268,0.232,0,2,1,"P039_GPS  ",0,1,0,0,0,
260.239,29.739,0.898,1.342,1.132,0.747,0,2,1,"TXLE_GPS  ",0,1,0,0,0,
260.243,32.503,0.14,1.769,0.32,0.275,0,2,1,"TXAB_GPS  ",0,1,0,0,0,
260.258,30.493,0.356,0.713,1.112,0.853,0,2,1,"LCJU_GPS  ",0,1,0,0,0,
256.778,40.172,-0.106,1.435,0.254,0.254,0,2,1,"P044_GPS  ",0,1,0,0,0,
256.726,46.905,-0.582,1.051,0.573,0.706,0,2,1,"MDR0_GPS  ",0,1,0,0,0,
256.671,42.739,0.241,1.092,0.253,0.239,0,2,1,"WHN9_GPS  ",0,1,0,0,0,
256.593,34.147,-0.644,1.588,0.272,0.235,0,2,1,"P038_GPS  ",0,1,0,0,0,
268.541,49.292,0.203,-0.325,1.097,0.91,0,2,1,"C123_GPS  ",0,1,0,0,0,
248.537,36.909,-1.368,1.353,0.739,0.534,0,2,1,"AZPG_GPS  ",0,1,0,0,0,
248.521,44.83,0.349,1.057,0.381,0.394,0.008,2,1,"N144_GPS  ",0,1,0,0,0,
248.497,36.866,-1.934,2.006,3.3,3.75,0.066,2,1,"L404_GPS  ",0,1,0,0,0,
248.486,44.598,-0.954,-2.521,0.612,0.616,-0.013,2,1,"K092_GPS  ",0,1,0,0,0,
268.595,31.561,0.254,0.799,0.778,0.64,0,2,1,"MSNA_GPS  ",0,1,0,0,0,
248.485,32.984,-1.717,2.737,0.75,0.75,0.019,2,1,"AZCL_GPS  ",0,1,0,0,0,
268.599,39.695,0.965,0.347,0.766,0.714,0,2,1,"MOHL_GPS  ",0,1,0,0,0,
248.474,44.185,-1.193,-0.428,0.357,0.379,0,2,1,"BBID_GPS  ",0,1,0,0,0,
248.472,40.413,0.139,1.649,0.597,0.545,0,2,1,"DCUT_GPS  ",0,1,0,0,0,
248.47,43.482,-1.435,-0.274,0.445,0.429,0,164,1,"P359_GPS  ",0,1,0,0,0,
248.462,40.028,-1.468,1.098,0.82,0.62,0,2,1,"POLE_GPS  ",0,1,0,0,0,
248.462,40.741,-0.184,1.508,0.67,0.53,0,2,1,"KIMB_GPS  ",0,1,0,0,0,
268.623,39.938,0.547,1.167,0.531,0.467,0,2,1,"SIKA_GPS  ",0,1,0,0,0,
268.638,42.878,1.862,1.042,0.731,0.59,0,2,1,"IAEL_GPS  ",0,1,0,0,0,
248.435,41.607,-0.203,1.391,0.393,0.367,0,2,1,"HWUT_GPS  ",0,1,0,0,0,
268.657,37.97,0.656,0.676,0.699,0.579,0,2,1,"MOST_GPS  ",0,1,0,0,0,
248.416,42.654,-2.266,0.905,0.581,0.594,0.047,161,1,"SSPR_GPS  ",0,1,0,0,0,
248.416,42.686,-1.801,1.164,0.355,0.372,0,161,1,"IDSS_GPS  ",0,1,0,0,0,
248.408,44.902,0.531,-0.605,0.561,0.574,0.002,2,1,"WFRA_GPS  ",0,1,0,0,0,
248.38,40.584,-0.556,1.29,0.351,0.346,0,2,1,"ALUT_GPS  ",0,1,0,0,0,
268.709,43.497,0.452,1.025,0.5,0.429,0,2,1,"NALB_GPS  ",0,1,0,0,0,
248.37,45.597,1.109,0.815,0.309,0.312,0,102,1,"NOMT_GPS  ",0,1,0,0,0,
248.366,40.016,-0.568,1.496,0.383,0.355,0,2,1,"MPUT_GPS  ",0,1,0,0,0,
248.365,35.215,-1.005,2.413,0.87,1.03,-0.03,2,1,"FLAG_GPS  ",0,1,0,0,0,
268.719,-79.627,-9.569,11.728,0.456,0.129,0,4,1,"W06A_GPS  ",0,1,0,0,0,
248.351,35.202,-1.56,2.348,0.804,0.811,0,2,1,"FLAG_GPS  ",0,1,0,0,0,
248.349,39.597,-0.361,1.379,0.986,0.974,0,2,1,"P109_GPS  ",0,1,0,0,0,
248.343,35.177,-1.403,1.275,0.657,0.507,0,2,1,"AZFL_GPS  ",0,1,0,0,0,
268.743,42.104,0.749,0.647,0.626,0.594,0,2,1,"IAAN_GPS  ",0,1,0,0,0,
248.334,41.046,-1.163,0.507,0.632,0.611,0,2,1,"MOUT_GPS  ",0,1,0,0,0,
268.749,47.303,1.411,-0.328,1.092,0.936,0,2,1,"SLVB_GPS  ",0,1,0,0,0,
248.321,45.232,0.708,1.91,0.367,0.381,-0.052,102,1,"H146_GPS  ",0,1,0,0,0,
268.775,43.778,0.25,1.665,0.51,0.472,0,2,1,"LCRS_GPS  ",0,1,0,0,0,
268.784,37.455,1.074,0.394,1.324,1.168,0,2,1,"MOB8_GPS  ",0,1,0,0,0,
268.791,40.833,1.029,0.814,0.648,0.677,0,2,1,"IAWB_GPS  ",0,1,0,0,0,
268.792,39.348,0.718,0.582,0.721,0.556,0,2,1,"MOBG_GPS  ",0,1,0,0,0,
248.283,40.752,-0.927,1.606,0.67,0.53,0,2,1,"1S2E_GPS  ",0,1,0,0,0,
248.277,40.772,-0.46,1.284,0.407,0.398,0,2,1,"P088_GPS  ",0,1,0,0,0,
268.809,41.175,0.997,0.649,0.672,0.547,0,2,1,"IAWO_GPS  ",0,1,0,0,0,
248.265,42.827,-1.026,0.091,0.41,0.394,0,161,1,"P683_GPS  ",0,1,0,0,0,
