interiorLon,interiorLat,eulerLon,eulerLonSig,eulerLat,eulerLatSig,rotationRate,rotationRateSig,rotationInfo,aprioriTog,other1,other2,other3,other4,other5,other6,name,
53.255,31.127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CIB_iran                ",
120.083,14.825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CLUZ                    ",
277.228,7.717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CR_forearc              ",
246.856,45.363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CTBt                    ",
167.164,-15.408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CVAN                    ",
16.321,38.313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Calabrian               ",
280.505,14.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caribbean               ",
46.662,40.209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Caucasus                ",
82.784,31.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"CentralTibet            ",
48.997,34.862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Central_Iran            ",
13.013,42.818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Central_Italy2          ",
12.179,43.768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Central_italy1          ",
44.634,39.163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chalderan_B5            ",
68.541,31.737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chaman                  ",
120.6,24.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Changhua                ",
291.668,-24.448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chile                   ",
286.455,-43.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Chiloe                  ",
116.326,21.736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ChinaSea                ",
242.146,34.072,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Chino                   ",
239.552,35.023,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"CoastalRanges           ",
264.563,8.552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cocos                   ",
33.622,34.958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyprus                  ",
90.915,26.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Dauky                   ",
242.924,36.378,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"DeathValley             ",
204.436,59.977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Denali                  ",
54.336,35.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Doruneh                 ",
33.793,-2.416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EAR1                    ",
38.4,-15.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EAR2                    ",
355.87,36.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EBET                    ",
120.333,22.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EFSB                    ",
108.984,-8.411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EJAV                    ",
120.568,23.247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EKSH                    ",
46.357,39.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ELBC_karak              ",
177.674,-38.216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ENIS                    ",
240.331,44.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EOre                    ",
170.057,-43.841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ESIL                    ",
242.238,48.616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"EWas                    ",
121.621,34.271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East_china_sea          ",
122.412,-1.911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"East_sula               ",
19.644,40.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Epiro                   ",
113.861,59.314,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Eurasia                 ",
178.324,-17.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FIJI                    ",
166.607,-45.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FIOR                    ",
167.518,-44.538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FORE                    ",
218.061,59.612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Foreland                ",
284.304,18.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GONA                    ",
150.539,-9.942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"GOOD                    ",
45.61,39.594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gegharkunik             ",
82.013,44.533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gobi_TienShan           ",
238.32,37.547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Greenville              ",
292.602,9.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Gunare                  ",
177.453,-40.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HAST                    ",
63.045,29.709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HB_iran                 ",
290.399,18.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HISP                    ",
173.175,-42.371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HOPE                    ",
121.057,24.403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"HSSH                    ",
243.072,34.861,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Helendale               ",
115.35,33.388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Huaihe                  ",
120.056,17.435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"ILOC                    ",
139.026,36.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IMP                     ",
136.25,-0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"INDO_new                ",
216.967,59.742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IcyBay                  ",
249.041,42.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"IdWy                    ",
282.775,-12.473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inca_1                  ",
286.983,-12.249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Inca_2                  ",
76.456,15.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"India                   ",
93.373,22.242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Indoburman              ",
239.516,38.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"InnerThrust             ",
20.595,37.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ionian                  ",
77.231,42.279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Issykul                 ",
232.729,45.774,244.66,1,33.92,1,-1.513,0.2,0,1,0,0,0,0,0,0,"JuanDeFuca              ",
81.028,46.748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Junggar1                ",
81.225,48.079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Junggar2                ",
84.066,47.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Junggar3                ",
88.839,45.215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Junggar_new_new         ",
55.9,30.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"KAB_iran                ",
75.15,41.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kadjerty                ",
23.949,38.859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Karpenissi              ",
42.639,40.581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kars                    ",
180.823,-33.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kermmadec               ",
73.266,39.695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kyrgyz                  ",
72.45,40.817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Kyrgyz_add_back         ",
58.885,32.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LB_iran                 ",
40.013,-30.596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LW                      ",
243.555,34.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Landers                 ",
240.764,34.346,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"LittleVentura01         ",
121.092,22.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LongitudinalValley      ",
298.694,10.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"LosBajos                ",
174.5,-40.625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MANA                    ",
288.081,9.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MARA                    ",
138.357,-3.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MO_indo                 ",
120.93,-4.924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Makassar                ",
56.488,28.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Makran2Zagros           ",
124.141,1.398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Manado                  ",
135.348,-2.379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maoke                   ",
288.294,8.554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maracaibo               ",
145.678,17.239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marianas                ",
25.421,39.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marmara                 ",
28.235,40.219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Marmara_sliver          ",
296.558,9.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Maturin                 ",
26.879,38.059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Menderes                ",
341.974,66.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Metzger                 ",
239.582,39.925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MohawkValley            ",
243.724,34.942,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"MojaveEasternMost       ",
127.602,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"MolucaSea               ",
102.094,47.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mongolia                ",
91.744,47.753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Mongolia_Altai          ",
269.707,15.104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Motagua_polochic        ",
99.714,19.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Myanmar_L               ",
282.328,4.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NAndes                  ",
56.782,32.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NB_iran                 ",
56.104,34.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NDR_iran                ",
99.582,37.192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NE2                     ",
286.479,20.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NHIS                    ",
96.863,42.091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NW_china                ",
79.116,43.172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N_issykul               ",
267.553,-21.835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Nazca                   ",
243.991,36.618,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"Nevada                  ",
15.949,43.073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthAdria              ",
270.568,47.697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthAmerica            ",
286.354,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthAndes_South        ",
148.113,-1.351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthBismarck           ",
118.084,37.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthChinaPlain         ",
32.267,36.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthCyprus             ",
95.687,34.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthOfBNSSuture        ",
120.885,24.509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthOfChelungpo        ",
47.496,33.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthZagros             ",
120.732,0.756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"North_Sulawesi          ",
92.452,37.264,0,1,0,1,0,0,0,0,0,0,0,0,0,0,"North_east_Tibet        ",
198.614,67.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"NorthernAlaska          ",
